check,evidence,status
processed_food_order,flour=10;wheat=8,pass
processed_food_price,flour=1.5;wheat=1,pass
processed_food_demand,flour=0.0020;wheat=0.001,pass
processed_food_recipe,1 wheat + 0.15 lumber + 0.05 tools -> 1.10,pass
opening_market_workshops,357 direct placements,pass
opening_rgo_capacity,global_max_rgo_size_modifier=0.10,pass
opening_profile_laws,463 tags x 4 engine-key opening policies,pass
parthian_deeper_laws,14 Iranian research groups retained,pass
mandatory_law_adapter,5 exact engine categories retained and ancientized,pass
engine_bridge_localization,16 law/policy categories ancientized,pass
steel_text,all 11 client mirrors,pass
