section,key,location,parent,size_thousands,share_percent,source,confidence,note
macro,americas,,world,14000.000,6.087,P12.4,contested,Exact plan section 12.4 macro total
macro,central_steppe,,world,5000.000,2.174,P12.4,contested,Exact plan section 12.4 macro total
macro,han,,world,57671.000,25.074,P12.4;BHR,secure,Exact plan section 12.4 macro total
macro,india,,world,40000.000,17.391,P12.4,contested,Exact plan section 12.4 macro total
macro,japan,,world,800.000,0.348,P12.4,contested,Exact plan section 12.4 macro total
macro,korea,,world,1500.000,0.652,P12.4,contested,Exact plan section 12.4 macro total
macro,non_roman_europe,,world,8500.000,3.696,P12.4,contested,Exact plan section 12.4 macro total
macro,other_old_world,,world,29500.000,12.826,P12.4;CAH-XI,contested,Exact plan section 12.4 macro total
macro,parthia,,world,9000.000,3.913,P12.4,contested,Exact plan section 12.4 macro total
macro,roman_empire,,world,47500.000,20.652,P12.4,secure,Exact plan section 12.4 macro total
macro,southeast_asia,,world,4000.000,1.739,P12.4,contested,Exact plan section 12.4 macro total
macro,sub_saharan_africa,,world,12529.000,5.447,P12.4,contested,Exact plan section 12.4 macro total
roster_region,Africa,,sub_saharan_africa,9965.368,79.538,P8.5;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Anatolia,,other_old_world,5785.208,19.611,P8.1;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Andes,,americas,4100.340,29.288,P8.10;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Arabia,,other_old_world,11602.399,39.330,P8.6;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Balkans,,other_old_world,3266.489,11.073,P8.1;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Baltic,,non_roman_europe,349.926,4.117,P8.7;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Britain,,non_roman_europe,1899.016,22.341,P8.7;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Caribbean-Amazon,,americas,163.624,1.169,P8.10;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Caucasus,,other_old_world,7791.249,26.411,P8.2;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Central Asia,,central_steppe,2677.884,53.558,P8.8;P12.4,contested,Observed geography after macro allocation and caps
roster_region,China,,han,57671.000,100.000,P8.3;P12.4;BHR,secure,Observed geography after macro allocation and caps
roster_region,Danube,,non_roman_europe,1049.547,12.348,P8.7;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Eastern Europe,,non_roman_europe,600.200,7.061,P8.7;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Finland,,non_roman_europe,151.565,1.783,P8.7;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Germania,,non_roman_europe,3000.194,35.296,P8.7;P12.4,contested,Observed geography after macro allocation and caps
roster_region,India,,india,38774.058,96.935,P8.4;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Iran,,parthia,8780.000,97.556,P8.2;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Ireland,,non_roman_europe,299.902,3.528,P8.7;P12.4,contested,Observed geography after macro allocation and caps
roster_region,Japan,,japan,800.000,100.000,P8.3;P12.4,contested,Observed geography after macro allocation and caps
