location,province,area,owner,culture,population_thousands,reviewed_centre,selector_type,selector,source,confidence,note
ankara,ankara_province,central_anatolia_area,ROM,antq_galatian_tectosagian,0.700,Ancyra,province,ankara_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:619103,contested,Tectosages campaign-boundary proxy around Ancyra; not an exact tribal polygon
baliseyh,bozok_province,cappadocia_area,ROM,antq_trocmian,0.459,,province,bozok_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:619267,contested,Trocmi campaign-boundary proxy east of Ancyra around Tavium; not an exact tribal polygon
beypazari,sivrihisar_province,central_anatolia_area,ROM,antq_tolistobogian,0.427,,province,sivrihisar_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:609500,contested,Tolistobogii campaign-boundary proxy around Pessinus; not an exact tribal polygon
bozan,sivrihisar_province,central_anatolia_area,ROM,antq_tolistobogian,0.427,,province,sivrihisar_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:609500,contested,Tolistobogii campaign-boundary proxy around Pessinus; not an exact tribal polygon
bozok,bozok_province,cappadocia_area,ROM,antq_trocmian,0.271,Tavium,province,bozok_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:619267,contested,Trocmi campaign-boundary proxy east of Ancyra around Tavium; not an exact tribal polygon
candir,bozok_province,cappadocia_area,ROM,antq_trocmian,0.468,,province,bozok_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:619267,contested,Trocmi campaign-boundary proxy east of Ancyra around Tavium; not an exact tribal polygon
cubuk,ankara_province,central_anatolia_area,ROM,antq_galatian_tectosagian,0.499,,province,ankara_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:619103,contested,Tectosages campaign-boundary proxy around Ancyra; not an exact tribal polygon
dinek_keskin,bozok_province,cappadocia_area,ROM,antq_trocmian,0.459,,province,bozok_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:619267,contested,Trocmi campaign-boundary proxy east of Ancyra around Tavium; not an exact tribal polygon
haymana,ankara_province,central_anatolia_area,ROM,antq_galatian_tectosagian,0.641,,province,ankara_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:619103,contested,Tectosages campaign-boundary proxy around Ancyra; not an exact tribal polygon
huseyinabad,corum_province,cappadocia_area,ROM,antq_trocmian,0.472,,location,huseyinabad,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:619267,contested,Nearest installed field to Tavium and an eastern Trocmi anchor; not a surveyed tribal boundary
kalecik,ankara_province,central_anatolia_area,ROM,antq_galatian_tectosagian,0.513,,province,ankara_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:619103,contested,Tectosages campaign-boundary proxy around Ancyra; not an exact tribal polygon
karakecili,ankara_province,central_anatolia_area,ROM,antq_galatian_tectosagian,0.189,,province,ankara_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:619103,contested,Tectosages campaign-boundary proxy around Ancyra; not an exact tribal polygon
kaymaz,sivrihisar_province,central_anatolia_area,ROM,antq_tolistobogian,0.536,,province,sivrihisar_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:609500,contested,Tolistobogii campaign-boundary proxy around Pessinus; not an exact tribal polygon
kibrus,sivrihisar_province,central_anatolia_area,ROM,antq_tolistobogian,0.394,,province,sivrihisar_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:609500,contested,Tolistobogii campaign-boundary proxy around Pessinus; not an exact tribal polygon
kizilca,sivrihisar_province,central_anatolia_area,ROM,antq_tolistobogian,0.200,,province,sivrihisar_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:609500,contested,Tolistobogii campaign-boundary proxy around Pessinus; not an exact tribal polygon
mihaliccik,sivrihisar_province,central_anatolia_area,ROM,antq_tolistobogian,0.404,,province,sivrihisar_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:609500,contested,Tolistobogii campaign-boundary proxy around Pessinus; not an exact tribal polygon
polatli,ankara_province,central_anatolia_area,ROM,antq_galatian_tectosagian,0.189,,province,ankara_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:619103,contested,Tectosages campaign-boundary proxy around Ancyra; not an exact tribal polygon
sivrihisar,sivrihisar_province,central_anatolia_area,ROM,antq_tolistobogian,0.695,Pessinous,province,sivrihisar_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:609500,contested,Tolistobogii campaign-boundary proxy around Pessinus; not an exact tribal polygon
sorgun,bozok_province,cappadocia_area,ROM,antq_trocmian,0.252,,province,bozok_province,P10;STR-ANA;MIT-ANA;OCD-GALATIA;PLE:619267,contested,Trocmi campaign-boundary proxy east of Ancyra around Tavium; not an exact tribal polygon
