tag,geography,tenure,source,confidence,note
ROM,italy_region,own_control_core,P8.1;CAH-XI,secure,Italia with Sicily Sardinia and Corsica
ROM,iberia_region,own_control_core,P8.1;CAH-XI,secure,Hispaniae
ROM,france_region,own_control_core,P8.1;CAH-XI,secure,The four Gauls within the vanilla France geographic frame
ROM,wallonia_area,own_control_core,P8.1;CAH-XI,secure,Gallia Belgica core
ROM,flanders_area,own_control_core,P8.1;CAH-XI,secure,Gallia Belgica northwestern frame
ROM,albania_area,own_control_core,P8.1;CAH-XI,secure,Illyricum and Epirus
ROM,bosnia_area,own_control_core,P8.1;CAH-XI,secure,Illyricum
ROM,croatia_area,own_control_core,P8.1;CAH-XI,secure,Illyricum
ROM,slavonia_area,own_control_core,P8.1;CAH-XI,secure,Pannonia
ROM,slovenia_area,own_control_core,P8.1;CAH-XI,secure,Illyricum
ROM,serbia_area,own_control_core,P8.1;CAH-XI,secure,Moesia Superior
ROM,bulgaria_area,own_control_core,P8.1;CAH-XI,secure,Moesia Inferior
ROM,macedonia_area,own_control_core,P8.1;CAH-XI,secure,Macedonia
ROM,morea_area,own_control_core,P8.1;CAH-XI,secure,Achaea
ROM,northern_greece_area,own_control_core,P8.1;CAH-XI,secure,Achaea
ROM,central_anatolia_area,own_control_core,P8.1;CAH-XI,secure,Galatia and Phrygia
ROM,bozok_province,own_control_core,STR-ANA;MIT-ANA;OCD-GALATIA;PLE:619267,secure,Eastern Galatia and the Trocmi territory around Tavium were inside the Roman province by AD 1
ROM,marmara_area,own_control_core,P8.1;CAH-XI,secure,Asia and Bithynia
ROM,pontus_area,own_control_core,P8.1;CAH-XI,secure,Pontus
ROM,west_anatolia_area,own_control_core,P8.1;CAH-XI,secure,Province of Asia
ROM,egypt_region,own_control_core,P8.1;CAH-XI,secure,Aegyptus Cyrenaica and Crete-facing Egyptian frame
ROM,tunis_area,own_control_core,P8.1;CAH-XI,secure,Africa Proconsularis
ROM,tripolitania_area,own_control_core,P8.1;CAH-XI,secure,Tripolitania
ROM,austria_area,own_control_core,P8.1;CAH-XI,secure,Noricum
ROM,carinthia_area,own_control_core,P8.1;CAH-XI,secure,Noricum
ROM,salzburg_area,own_control_core,P8.1;CAH-XI,secure,Noricum
ROM,styria_area,own_control_core,P8.1;CAH-XI,secure,Noricum
ROM,tirol_area,own_control_core,P8.1;CAH-XI,secure,Raetia
ROM,upper_austria_area,own_control_core,P8.1;CAH-XI,secure,Noricum
ROM,central_switzerland_area,own_control_core,P8.1;CAH-XI,secure,Helvetia and Raetia
ROM,eastern_switzerland_area,own_control_core,P8.1;CAH-XI,secure,Raetia
ROM,western_switzerland_area,own_control_core,P8.1;CAH-XI,secure,Helvetia
PAR,baluchistan_area,own_control_core,P8.2;CAH-XI,secure,Arsacid eastern Iranian core
PAR,iraq_ajam_area,own_control_core,P8.2;CAH-XI,secure,Arsacid Media core
