location,good,source,confidence,note
milos,alum,P12.1;CAM-MELOS-ALUM,secure,Milos is the direct installed island anchor for Roman-period Melian alum extraction processing and export
huelva,silver,P12.1;P8.1;CAH-XI,contested,Huelva is the reviewed Rio Tinto silver-district proxy
truro,tin,P12.1;P8.7;CAH-XI,contested,Truro is the reviewed Cornwall tin-district proxy
paphos,copper,P12.1;P8.1;CAH-XI,contested,Paphos is the reviewed Cyprus copper proxy
sidon,dyes,P12.1;P8.2;CAH-XI,contested,Sidon is the reviewed Tyrian purple-dye proxy
al_mukha,incense,P12.1;P8.6;PER,contested,Al Mukha is the reviewed Muza incense-port proxy
massawa,incense,P12.1;P8.5;PER,contested,Massawa is the reviewed Adulis and Horn incense proxy
jingzhao,silk,P12.1;P8.3;BHR,secure,Jingzhao is the reviewed Chang'an sericulture anchor
chengdu,silk,P12.1;P8.3;BHR,secure,Chengdu is a Sichuan sericulture anchor
khotan,antq_jade,P12.1;WSH-KHT,secure,Khotan is the direct installed jade anchor
kodungallur,pepper,P12.1;P8.4;PER,contested,Kodungallur is the reviewed Muziris Malabar pepper proxy
alexandria,antq_papyrus,P12.1,secure,Alexandria is the Egyptian papyrus production-port anchor
lhasa,antq_barley,CAM-TIB-ARCH;ANT-BANGGA,secure,Qugong Valley is the central Tsangpo naked-barley anchor; the engine polygon is a valley-production proxy rather than a claim about the later city
nedong,antq_barley,ANT-BANGGA,secure,Bangga-Yarlung is the direct archaeobotanical highland-barley anchor
shigatse,antq_barley,CAM-TIB-ARCH,contested,Western Tsangpo valley farming is represented as a bounded plateau-barley proxy rather than a site-specific excavated field
shantsa,livestock,ANT-TIB-HERDING;CAM-TIB-ARCH,secure,Northern Changtang is corrected from fiber crops to the archaeologically supported mobile-herding economy
derge,livestock,CAM-EAST-TIB;OXF-EAST-RIM,contested,Drichu highlands are corrected from unsupported generic gold production to a conservative eastern-plateau pastoral proxy
barca,antq_silphium,P12.1;CAM-SIL,contested,Barca is the reviewed Cyrenaica silphium proxy
hit,antq_naphtha,P12.1;OIP-147,secure,Hit is the Mesopotamian natural-bitumen anchor
medina,antq_camels,P12.1;SRS-CAM,contested,Medina is the narrow Arabian dromedary-trade proxy
baia_de_aries,goods_gold,P12.1;P8.7;SPR-ROS-GOLD,contested,Baia de Arieș is the nearest reviewed installed proxy for the pre-conquest Roșia Montană gold district in Dacian territory
friesach,iron,P12.1;P8.1;FWF-NORIC,contested,Friesach is the reviewed nearby installed proxy for the Hüttenberg Ferrum Noricum iron-production district
male_atoll,pearls,CAM-MALDIVES;P12.1,contested,Central Maldivian atolls are corrected from impossible inherited lumber to a bounded marine-shell production proxy
addu_atoll,fish,CAM-MALDIVES;P12.1,contested,Southern Maldivian atoll subsistence is represented through marine fishing rather than inherited lumber
nilandhe_atoll,fish,CAM-MALDIVES;P12.1,contested,Nilandhe atoll subsistence is represented through marine fishing rather than inherited lumber
