key,location,profile,source,confidence,note
roma,rome,city,P12.2;P12.3;P8.1,secure,Roma is the imperial metropolis and annona centre
alexandria,alexandria,city,P12.2;P12.3;P8.1,secure,Alexandria is the Egyptian metropolitan market
antiochia,antioch,city,P12.2;P12.3;P8.1,secure,Antiochia is a major eastern Roman city
seleucia_ctesiphon,baghdad,city,P12.2;P12.3;P8.2,contested,Baghdad is the reviewed Seleucia-Ctesiphon geographic proxy
carthago,tunis,city,P12.2;P12.3;P8.1,contested,Tunis is the reviewed Carthago geographic proxy
gades,cadiz,city,P12.2;P8.1,secure,Gades is an established Roman Atlantic city
massilia,marseille,city,P12.2;P8.1,secure,Massilia is an established Mediterranean city
lugdunum,lyon,city,P12.2;P8.1,secure,Lugdunum is the Gallic metropolitan hub
aquileia,aquileia,city,P12.2;P8.1,secure,Aquileia is a Roman Adriatic city
corinthus,corinth,city,P12.2;P8.1,secure,Corinthus is an established Greek port city
ephesus,ayasuluk,city,P12.2;P8.1;UNESCO-EPH,contested,Ayasuluk is the reviewed near-site proxy for Roman Ephesus as provincial capital port and trade centre
byzantium,constantinople,town,P12.2;P8.1,secure,Byzantium begins small and grows through the later scripted arc
panticapaeum,taman,city,P12.2;P8.1,contested,Taman is the reviewed Panticapaeum geographic proxy
petra,shoubak,town,P12.2;P8.1;PLE,secure,Shoubak is the reviewed Nabataean-capital proxy
palmyra,homs,town,P12.2;P8.1;PLE,contested,Homs is the nearest reviewed Syrian proxy for Palmyra growth
meroe,shendi,city,P12.2;P8.5;PLE,contested,Shendi is the reviewed Meroitic-capital proxy
adulis,massawa,town,P12.2;P8.5;PER,contested,Massawa is the reviewed Red Sea port proxy
muza,al_mukha,town,P12.2;P8.6;PER,contested,Al Mukha is the reviewed Muza port proxy
barygaza,khambat,city,P12.2;P8.4;PER,contested,Khambat is the reviewed Barygaza port proxy
muziris,kodungallur,town,P12.2;P8.4;PER,contested,Kodungallur is the reviewed Muziris port proxy
pataliputra,patna,city,P12.2;P8.4,secure,Pataliputra is a Gangetic metropolitan centre
taxila,attock,city,P12.2;P8.4;UNESCO-TAX,contested,Attock is the reviewed Taxila urban proxy at the Indo-Gangetic and Central Asian crossroads
anuradhapura,anuradhapura,city,P12.2;P8.4,secure,Anuradhapura is the Lankan capital city
marakanda,samarkand,city,P12.2;P8.8,secure,Marakanda is a Sogdian city hub
kashgar,kashgar,city,P12.2;P8.3;CHG,secure,Kashgar is a Tarim oasis city
changan,jingzhao,city,P12.2;P8.3;BHR,secure,Jingzhao is the reviewed Chang'an commandery anchor
luoyang,luoyang,city,P12.2;P8.3;BHR,secure,Luoyang is an Eastern Han metropolitan city
panyu,panyu,city,P12.2;P8.3;BHR,secure,Panyu is the southern Han port city
angkor,angkor,town,P8.9;CAH-XI,contested,Early Khmer regional market anchor before Angkor's later urban peak
thang_long,thang_long,town,P8.9;CAH-XI,contested,Han Jiaozhi and later regional market anchor
temasek,temasek,town,P8.9;CAH-XI,contested,Straits regional market anchor
surabaya,surabaya,town,P8.9;CAH-XI,contested,Java regional market anchor
martaban,martaban,town,P8.9;CAH-XI,contested,Mon regional market anchor
maynila,maynila,town,P8.9;CAH-XI,contested,Philippine regional market anchor
teotihuacan,azcapotzalco,city,P12.2;P8.10;CAH-XI,contested,Azcapotzalco is the reviewed Basin of Mexico proxy
tikal,noh_peten,town,P12.2;P8.10;CAH-XI,contested,Noh Peten is the reviewed Maya lowland proxy
monte_alban,zaachila,city,P8.10;CAH-XI,contested,Zaachila is the reviewed Monte Alban proxy
chan_chan,chan_chan,town,P12.2;P8.10;CAH-XI,contested,Chan Chan remains a precursor settlement in AD 1
sidon,sidon,town,P12.1;P8.2;CAH-XI,contested,Sidon is the reviewed Levantine glassware and purple-dye proxy
cologne,cologne,town,P12.1;P8.7,contested,Cologne is the plan-listed northern glassware production anchor
chengdu,chengdu,city,P12.1;P8.3;BHR,secure,Chengdu is the reviewed Sichuan production and metropolitan anchor
