building,good,climates,topographies,vegetations,regions,water_gate,max_levels,output,native_rgo_superior
antq_cult_wheat_fields,wheat,5,4,4,1,none,3,0.38,yes
antq_cult_millet_plots,millet,7,4,4,1,none,3,0.36,yes
antq_cult_barley_plots,antq_barley,6,4,4,1,none,3,0.36,yes
antq_cult_rice_paddies,rice,3,4,4,14,river,3,0.34,yes
antq_cult_maize_plots,maize,5,4,6,11,none,3,0.36,yes
antq_cult_pulse_plots,legumes,7,4,6,1,none,3,0.37,yes
antq_cult_fruit_orchards,fruit,6,4,6,1,none,2,0.32,yes
antq_cult_olive_groves,olives,2,3,4,8,none,2,0.28,yes
antq_cult_grape_arbors,fruit,5,3,4,13,none,2,0.30,yes
antq_cult_date_groves,antq_dates,3,4,4,7,river_or_arid,2,0.30,yes
antq_cult_nut_orchards,antq_tree_nuts,6,4,5,13,none,2,0.30,yes
antq_cult_sesame_plots,antq_sesame,4,4,4,14,none,2,0.32,yes
antq_cult_flax_hemp_fields,fiber_crops,5,4,4,1,none,3,0.34,yes
antq_cult_cotton_plots,cotton,3,4,6,19,humid,2,0.30,yes
antq_cult_dye_gardens,dyes,6,4,6,1,none,2,0.27,yes
antq_cult_sugar_cane,sugar,2,4,5,8,humid,2,0.25,yes
antq_cult_tea_gardens,tea,3,4,5,4,humid,2,0.22,yes
antq_cult_pepper_gardens,medicaments,2,3,4,4,humid,2,0.22,yes
antq_cult_incense_gardens,incense,3,4,5,3,none,2,0.20,yes
antq_cult_papyrus_beds,antq_papyrus,4,2,4,3,river,2,0.22,yes
antq_cult_coconut_groves,antq_coconuts,2,3,5,10,coast,2,0.27,yes
antq_cult_spice_gardens,medicaments,2,4,4,5,humid,2,0.20,yes
antq_cult_cacao_groves,cocoa,2,3,4,3,humid,2,0.20,yes
antq_cult_tobacco_plots,tobacco,4,4,6,10,none,2,0.22,yes
antq_cult_vineyards,wine,5,3,4,13,none,2,0.30,yes
antq_cult_saffron_beds,saffron,3,3,4,9,none,2,0.20,yes
antq_cult_black_pepper,pepper,2,3,4,4,humid,2,0.20,yes
antq_cult_clove_groves,cloves,1,3,4,1,humid,2,0.18,yes
antq_cult_chili_gardens,chili,4,4,6,10,none,2,0.25,yes
antq_cult_potato_terraces,potato,5,4,4,2,none,3,0.30,yes
antq_cult_apiaries,beeswax,6,4,6,1,none,2,0.22,yes
antq_cult_mulberry_sericulture,silk,3,4,5,6,humid,2,0.18,yes
antq_cult_wool_flocks,wool,6,4,4,1,none,2,0.30,yes
antq_cult_cattle_pastures,livestock,7,4,5,1,none,2,0.28,yes
antq_cult_horse_pastures,horses,5,3,4,1,none,2,0.22,yes
antq_cult_camel_corrals,antq_camels,3,3,3,8,none,2,0.20,yes
