granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
location,noos_coast,belau_sea_zones_province,sea,Belau Noos Waters,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
location,nopiloa,cuetlaxtlan_province,land,Totonac Papaloapan Coast,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
location,noptinte,northern_yokut_province,land,San-Joaquin–Fresno: Noptinte Lands,local geography / sourced AD 1 parent frame / English,ancient-parent local-feature construction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,AD 1 local label within the researched parent frame.,false
location,noques_jungle,jujuy_province,land,Calchaqui Jujuy Forest,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
location,nora,vastmanland_province,land,Suionic Northern-Bergslagen Lands,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
location,nora_eth,argobba_province,land,Argobba Awash Highlands,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
location,norcacia_jungle,coyaima_province,land,Upper-Magdalena Forest,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
location,nordfjord_sea,nordland_coast_province,sea,North-Germanic Nordfjord Waters,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
location,nordhausen,harz_province,land,Hermunduri Harz Lands,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
location,nordhordland,bergenhus_province,land,North-Germanic Hordaland Fjords,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
location,nordmark,varmland_province,land,Suionic Vanern–Klaralven Lands,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
location,norfolk,norfolk_nz_province,land,Southwest-Pacific Volcanic Isle,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
location,norfolk_coast,new_zealand_sea_zones_province,sea,Southwest-Pacific Island Waters,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
location,norfolk_high_sea_1,new_zealand_sea_zones_province,sea,Southwest-Pacific Island Northwestern Reach,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
location,norfolk_high_sea_2,new_zealand_sea_zones_province,sea,Southwest-Pacific Island Northeastern Reach,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
location,norfolk_high_sea_3,new_zealand_sea_zones_province,sea,Southwest-Pacific Island Western Reach,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
location,norfolk_high_sea_4,new_zealand_sea_zones_province,sea,Southwest-Pacific Island Eastern Reach,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
location,norfolk_high_sea_5,new_zealand_sea_zones_province,sea,Southwest-Pacific Island Southern Reach,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
location,norht_taranaki_bight,waikato_sea_zones_province,sea,Aotearoa Taranaki-Bight Waters,local geography / sourced AD 1 parent frame / English,reviewed ancient identity or anti-anachronism reconstruction,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium,"Reviewed AD 1 placement; modern, duplicate, or eponymic field label removed.",false
