granularity,key,parent,kind,ad1_name,language,method,source,confidence,note,unchanged_verified
continent,africa,world,land,Libya,Ancient Greek,attested classical continent,https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/17C%2A.html;https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0064%3Aentry%3Dlibya-geo,high,Strabo's three-continent scheme calls the whole African landmass Libya.,false
continent,america,world,land,Western Lands Beyond Ocean,English (classical Greek calque),classical-worldview construction,https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/1A%2A.html,medium,Neutral map construction for lands unknown to Mediterranean geographers; uses Strabo's Oceanus vocabulary without claiming an ancient continental endonym.,false
continent,antarctic_ocean_continent,world,marine,Southern Outer Ocean,English (classical Greek calque),directional classical-worldview construction,https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/1A%2A.html,medium,Constructed directionally from the classical encircling Oceanus; avoids the modern Antarctic name.,false
continent,asia,world,land,Asia,Ancient Greek,attested classical continent,https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/11A%2A.html,high,Asia is an explicit continent in Strabo's Augustan-era geography and is therefore a sourced unchanged exception.,true
continent,atlantic_ocean_continent,world,marine,Western Ocean,English (classical Greek calque),attested directional ocean concept,https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/1A%2A.html;https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/3A%2A.html,high,Classical geographers describe the Ocean outside Iberia and the Pillars as the ocean toward the west.,false
continent,europe,world,land,Europe,Ancient Greek,attested classical continent,https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/11A%2A.html,high,Europe is an explicit continent in Strabo's Augustan-era geography and is therefore a sourced unchanged exception.,true
continent,indian_ocean_continent,world,marine,Erythraean Sea,Koine Greek,attested first-century maritime macro-name,https://www.gutenberg.org/files/55054/55054-h/55054-h.htm;https://periplus.arch.uoa.gr/texts/peripl_erythr/intro_en.html,high,The first-century Periplus applies the Erythraean maritime frame from the Red Sea and Persian Gulf to India and the East African route.,false
continent,oceania,world,land,Eastern and Southern Ocean Lands,English (classical Greek calque),classical-worldview construction,https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/1A%2A.html,medium,Footprint-led construction for Australia New Zealand and Pacific islands; it deliberately avoids the nineteenth-century coinage Oceania.,false
continent,pacific_ocean_continent,world,marine,Eastern Outer Ocean,English (classical Greek calque),directional classical-worldview construction,https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/1A%2A.html;https://penelope.uchicago.edu/Thayer/L/Roman/Texts/Pliny_the_Elder/6%2A.html,medium,Constructed from Oceanus plus the eastern orientation used for the remote sea beyond Scythia and the Seres; avoids the post-Magellan name Pacific.,false
subcontinent,antarctic_ocean_sub_continent,antarctic_ocean_continent,marine,Farthest Southern Ocean,English (classical Greek calque),directional classical-worldview construction,https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Strabo/1A%2A.html,medium,Directional child of Southern Outer Ocean for the engine's far-southern water footprint.,false
