key,name,kind,status,age,category,sheet,quadrant,master,strip,texture,mask,dimensions,compression,resolver,source,confidence,note
antq_aestian_amber_road_guards,Aestian Amber-Road Guards,land,complete,age_1_traditions,army_light_infantry,assets_queue/generated/unit_icons/sheets/unit_sheet_15_germania_opening_depth.png,bottom_right,assets_queue/generated/unit_icons/masters/antq_aestian_amber_road_guards.png,assets_queue/generated/unit_icons/strips/army_light_infantry_antq_aestian_amber_road_guards_1080x440.png,main_menu/gfx/interface/illustrations/units/army_light_infantry_antq_aestian_amber_road_guards.dds,main_menu/gfx/interface/illustrations/units/masks/army_light_infantry_antq_aestian_amber_road_guards.dds,1080x440; 3x360x440 frames,DXT1 + full mip chain,[unit_category]_[unit_type] (direct priority 2),P8.7;P14;TAC-GER;PAN-WBB;VU-BRUSH,contested,A local escort adapter for plural Aestian shore and amber-route communities; it is not a unified state guard or reconstructed ethnic army.
antq_alamannic_confederate_host,Alamannic Confederate Host,land,complete,age_3_discovery,army_heavy_infantry,assets_queue/generated/unit_icons/sheets/unit_sheet_16_germania_late_confederations.png,top_right,assets_queue/generated/unit_icons/masters/antq_alamannic_confederate_host.png,assets_queue/generated/unit_icons/strips/army_heavy_infantry_antq_alamannic_confederate_host_1080x440.png,main_menu/gfx/interface/illustrations/units/army_heavy_infantry_antq_alamannic_confederate_host.dds,main_menu/gfx/interface/illustrations/units/masks/army_heavy_infantry_antq_alamannic_confederate_host.dds,1080x440; 3x360x440 frames,DXT1 + full mip chain,[unit_category]_[unit_type] (direct priority 2),P8.7;P14;OCD-ALE;CAH-XI,contested,A post-AD-213 upper-Rhine confederate-host adapter whose tag access represents possible constituent continuities rather than retrojecting Alemanni into AD 1.
antq_andean_balsa_patrol,Andean Balsa Patrol,navy,complete,age_1_traditions,navy_light_ship,assets_queue/generated/unit_icons/sheets/unit_sheet_27_andes_micronesia_navy.png,top_left,assets_queue/generated/unit_icons/masters/antq_andean_balsa_patrol.png,assets_queue/generated/unit_icons/strips/navy_light_ship_antq_andean_balsa_patrol_1080x440.png,main_menu/gfx/interface/illustrations/units/navy_light_ship_antq_andean_balsa_patrol.dds,main_menu/gfx/interface/illustrations/units/masks/navy_light_ship_antq_andean_balsa_patrol.dds,1080x440; 3x360x440 frames,DXT1 + full mip chain,[unit_category]_[unit_type] (direct priority 2),P8.10;P14;CAH-XI,contested,"A bounded Pacific balsa-raft patrol adapter for coastal Andean polities, not a reconstructed standardized state fleet."
antq_andean_balsa_transport,Andean Balsa Transport,navy,complete,age_1_traditions,navy_transport,assets_queue/generated/unit_icons/sheets/unit_sheet_27_andes_micronesia_navy.png,top_right,assets_queue/generated/unit_icons/masters/antq_andean_balsa_transport.png,assets_queue/generated/unit_icons/strips/navy_transport_antq_andean_balsa_transport_1080x440.png,main_menu/gfx/interface/illustrations/units/navy_transport_antq_andean_balsa_transport.dds,main_menu/gfx/interface/illustrations/units/masks/navy_transport_antq_andean_balsa_transport.dds,1080x440; 3x360x440 frames,DXT1 + full mip chain,[unit_category]_[unit_type] (direct priority 2),P8.10;P14;CAH-XI,contested,"A bounded Pacific balsa-raft carrier adapter for coastal Andean polities, not a reconstructed standardized state fleet."
antq_andean_sling_company,Andean Sling Company,land,complete,age_1_traditions,army_light_infantry,assets_queue/generated/unit_icons/sheets/unit_sheet_21_african_american_companies.png,bottom_right,assets_queue/generated/unit_icons/masters/antq_andean_sling_company.png,assets_queue/generated/unit_icons/strips/army_light_infantry_antq_andean_sling_company_1080x440.png,main_menu/gfx/interface/illustrations/units/army_light_infantry_antq_andean_sling_company.dds,main_menu/gfx/interface/illustrations/units/masks/army_light_infantry_antq_andean_sling_company.dds,1080x440; 3x360x440 frames,DXT1 + full mip chain,[unit_category]_[unit_type] (direct priority 2),P8.10;P14,contested,An Andean highland sling-service adapter without projecting later Inca state uniforms ranks or imperial recruitment systems.
antq_angrivarian_spear_following,Angrivarian Spear Following,land,complete,age_1_traditions,army_heavy_infantry,assets_queue/generated/unit_icons/sheets/unit_sheet_13_germania_baltic.png,top_left,assets_queue/generated/unit_icons/masters/antq_angrivarian_spear_following.png,assets_queue/generated/unit_icons/strips/army_heavy_infantry_antq_angrivarian_spear_following_1080x440.png,main_menu/gfx/interface/illustrations/units/army_heavy_infantry_antq_angrivarian_spear_following.dds,main_menu/gfx/interface/illustrations/units/masks/army_heavy_infantry_antq_angrivarian_spear_following.dds,1080x440; 3x360x440 frames,DXT1 + full mip chain,[unit_category]_[unit_type] (direct priority 2),P8.7;P14;TAC-ANN-II;TAC-GER,contested,Lower Weser and Elbe spear-following adapter for the bounded Angrivarian frame; it does not reconstruct a standardized formation equipment issue or permanent army.
antq_armenian_horse,Armenian Horse Company,land,complete,age_1_traditions,army_light_cavalry,assets_queue/generated/unit_icons/sheets/unit_sheet_09_eastern_specialists.png,bottom_right,assets_queue/generated/unit_icons/masters/antq_armenian_horse.png,assets_queue/generated/unit_icons/strips/army_light_cavalry_antq_armenian_horse_1080x440.png,main_menu/gfx/interface/illustrations/units/army_light_cavalry_antq_armenian_horse.dds,main_menu/gfx/interface/illustrations/units/masks/army_light_cavalry_antq_armenian_horse.dds,1080x440; 3x360x440 frames,DXT1 + full mip chain,[unit_category]_[unit_type] (direct priority 2),P14;CAH-XI,contested,Era Armenian mounted-company adapter without a named nakharar house or deployment claim
antq_austronesian_outrigger,Austronesian Outrigger,navy,complete,age_1_traditions,navy_transport,assets_queue/generated/unit_icons/sheets/unit_sheet_11_ocean_coastal.png,top_right,assets_queue/generated/unit_icons/masters/antq_austronesian_outrigger.png,assets_queue/generated/unit_icons/strips/navy_transport_antq_austronesian_outrigger_1080x440.png,main_menu/gfx/interface/illustrations/units/navy_transport_antq_austronesian_outrigger.dds,main_menu/gfx/interface/illustrations/units/masks/navy_transport_antq_austronesian_outrigger.dds,1080x440; 3x360x440 frames,DXT1 + full mip chain,[unit_category]_[unit_type] (direct priority 2),P14;CAH-XI,contested,Austronesian small-vessel adapter; no trans-Pacific discovery or oceanic class is implied
antq_auxilia,Auxilia,land,complete,age_1_traditions,army_light_infantry,assets_queue/generated/unit_icons/sheets/unit_sheet_01_roman_core.png,top_right,assets_queue/generated/unit_icons/masters/antq_auxilia.png,assets_queue/generated/unit_icons/strips/army_light_infantry_antq_auxilia_1080x440.png,main_menu/gfx/interface/illustrations/units/army_light_infantry_antq_auxilia.dds,main_menu/gfx/interface/illustrations/units/masks/army_light_infantry_antq_auxilia.dds,1080x440; 3x360x440 frames,DXT1 + full mip chain,[unit_category]_[unit_type] (direct priority 2),P14;CAH-XI,secure,Roman levy-analog with an explicitly non-mechanical citizenship-on-discharge flavor
antq_balearic_slingers,Balearic Slingers,land,complete,age_1_traditions,army_light_infantry,assets_queue/generated/unit_icons/sheets/unit_sheet_11_ocean_coastal.png,bottom_right,assets_queue/generated/unit_icons/masters/antq_balearic_slingers.png,assets_queue/generated/unit_icons/strips/army_light_infantry_antq_balearic_slingers_1080x440.png,main_menu/gfx/interface/illustrations/units/army_light_infantry_antq_balearic_slingers.dds,main_menu/gfx/interface/illustrations/units/masks/army_light_infantry_antq_balearic_slingers.dds,1080x440; 3x360x440 frames,DXT1 + full mip chain,[unit_category]_[unit_type] (direct priority 2),P14;CAH-XI,secure,Era mercenary company adapter; availability is not a claim of permanent island sovereignty
