design_tag,government_type,heir_selection,ruler,heir,consort,active_regent,regency,start_regency_date,end_regency_date,reform,privileges,laws,societal_values,source,confidence,note
CLZ,monarchy,cognatic_primogeniture,antq_pythodoris_pontus,,,,,,,antq_buffer_kingdom,antq_border_court_autonomy,antq_buffer_kingdom_law=antq_balanced_allegiance,centralization_vs_decentralization=5|aristocracy_vs_plutocracy=-25|capital_economy_vs_traditional_economy=30,P8.2;P13;OCD;PLE;STR-CLZ;TSU-CLZ,contested,Colchian frontier-court profile for Pythodoris of Pontus; the external alignment remains M9 work.
ISK,monarchy,cognatic_primogeniture,antq_azes_ii,,,,,,,antq_indo_scythian_kingship,antq_indo_scythian_satraps,antq_indo_scythian_law=antq_indo_scythian_satrapy,centralization_vs_decentralization=10|traditionalist_vs_innovative=-10|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=25,P8.4;P13;CAH-XI;IRAN-AZES,contested,Technical Indo-Scythian monarchy adapter for the plan's Azes start; the individual succession sequence and regional constitutional detail remain contested.
IGR,monarchy,cognatic_primogeniture,antq_strato_ii,,,,,,,antq_indo_greek_kingship,antq_indo_greek_city_elites,antq_indo_greek_law=antq_indo_greek_city_compact,centralization_vs_decentralization=20|traditionalist_vs_innovative=5|aristocracy_vs_plutocracy=-10|capital_economy_vs_traditional_economy=20,P8.4;P13;CAH-XI;IRAN-IGR,contested,Technical late Indo-Greek monarchy adapter for Strato II's eastern-Punjab rump; full city institutions and the AD 10 fall belong to later work.
PRS,monarchy,cognatic_primogeniture,antq_nambed,,,,,,,antq_parthian_subkingdom,antq_parthian_subking_autonomy,antq_parthian_subking_law=antq_regional_court_compact,centralization_vs_decentralization=15|traditionalist_vs_innovative=-10|aristocracy_vs_plutocracy=-25|capital_economy_vs_traditional_economy=15,P8.2;P13;OCD;IRAN-PRS;IRIS-NAM,contested,Technical Parthian-facing sub-kingdom adapter for the coin-attested Persid court; exact constitutional and subject terms remain M9 work.
CHA,monarchy,cognatic_primogeniture,antq_attambelos_ii,,,,,,,antq_parthian_subkingdom,antq_parthian_subking_autonomy,antq_parthian_subking_law=antq_regional_court_compact,centralization_vs_decentralization=-10|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=20,P8.2;P13;OCD;IRAN-CHA;SCHU-CHA,contested,Technical Parthian-facing sub-kingdom adapter for the coin-attested Characenian court; exact constitutional and subject terms remain M9 work.
YDH,republic,oligarchic_elective,random,,,,,,,antq_indian_ganasangha,antq_ganasangha_council,antq_ganasangha_law=antq_clan_council_governance,centralization_vs_decentralization=-20|traditionalist_vs_innovative=-15|aristocracy_vs_plutocracy=-30|capital_economy_vs_traditional_economy=15,P8.4;P13;CAH-XI,contested,Source-qualified ganasangha republic adapter; no current individual ruler is invented where the project source set only supports collective leadership.
ARJ,republic,oligarchic_elective,random,,,,,,,antq_indian_ganasangha,antq_ganasangha_council,antq_ganasangha_law=antq_clan_council_governance,centralization_vs_decentralization=-20|traditionalist_vs_innovative=-15|aristocracy_vs_plutocracy=-30|capital_economy_vs_traditional_economy=15,P8.4;P13;CAH-XI,contested,Source-qualified ganasangha republic adapter; no current individual ruler is invented where the project source set only supports collective leadership.
KUN,republic,oligarchic_elective,random,,,,,,,antq_indian_ganasangha,antq_ganasangha_council,antq_ganasangha_law=antq_clan_council_governance,centralization_vs_decentralization=-20|traditionalist_vs_innovative=-15|aristocracy_vs_plutocracy=-30|capital_economy_vs_traditional_economy=15,P8.4;P13;CAH-XI,contested,Source-qualified ganasangha republic adapter; no current individual ruler is invented where the project source set only supports collective leadership.
ANU,monarchy,cognatic_primogeniture,antq_bhatikabhaya_abhaya,,,,,,,antq_lankan_kingdom,antq_lankan_monastic_patronage,antq_lankan_water_law=antq_royal_canal_endowments,centralization_vs_decentralization=25|traditionalist_vs_innovative=-15|capital_economy_vs_traditional_economy=25,P8.4;P11;P13;CAH-XI;SRI-BHAT,contested,Technical Anuradhapura monarchy adapter for Bhatikabhaya Abhaya; monastic and canal mechanics preserve attested patronage without reconstructing a complete constitution.
ROM,monarchy,cognatic_primogeniture,antq_augustus,antq_gaius_caesar,antq_livia,,,,,antq_principate,antq_senatorial_land_exemption|antq_equestrian_service|antq_roman_priestly_colleges|antq_annona_privilege|antq_praetorian_donatives,antq_citizenship_law=antq_peregrini_status|antq_recruitment_law=antq_professional_legions|antq_roman_coinage_law=antq_augustan_bimetallic_standard|antq_roman_status_law=antq_roman_slavery_permitted|antq_roman_cult_law=antq_local_cults_permitted,centralization_vs_decentralization=55|aristocracy_vs_plutocracy=-55|capital_economy_vs_traditional_economy=45,P8.1;P11;P13;OCD;OCD-EQU;MET-PRIEST;BM-AUG-COIN,secure,Technical monarchy adapter for the Rome-unique republic-facade Principate; Gaius Caesar is the explicit heir and the dated debasement path remains future content.
